symbol,infinite_supply,total_supply,max_supply,name,price
ENS,False,100000000.0,100000000.0,Ethereum Name Service,20.309077206715745
XDC,False,37908118889.25,,XDC Network,0.044614234566169204
SKL,False,5447166667.0,7000000000.0,SKALE,0.11526201628173702
OCEAN,False,1408900141.0,1410000000.0,Ocean Protocol,1.0825513515032466
LUNA,True,1004262701.0,,Terra,0.854068834394875
ENJ,False,1796973221.3897617,,Enjin Coin,0.4363972708044756
ANKR,False,10000000000.0,,Ankr,0.05901420204471192
XAUt,False,246524.0,,Tether Gold,2339.367406319794
COMP,False,10000000.0,10000000.0,Compound,70.81158918438189
DEXE,False,96504599.33609451,98942301.0,DeXe,15.623410055273764
GMT,False,5390488717.241581,,GMT,0.29125534872830533
CELO,False,1000000000.0,1000000000.0,Celo,1.053018714129831
ETHW,False,107818999.04993,,EthereumPoW,5.204755341380912
ZIL,False,18984069327.615833,21000000000.0,Zilliqa,0.03231509075587894
RPL,False,20217174.18015354,,Rocket Pool,27.463635423158518
MX,False,428646534.0,1000000000.0,MX TOKEN,5.6092475341583095
ZRX,False,1000000000.0,1000000000.0,0x Protocol,0.6511841413703399
RVN,False,13717740027.163918,21000000000.0,Ravencoin,0.039460329156358144
SUPER,False,999998077.4169173,1000000000.0,SuperVerse,1.1063300211179836
BICO,False,1000000000.0,,Biconomy,0.7477544191024786
SC,True,56977815000.0,,Siacoin,0.00933385852476218
FXS,False,99681495.59113361,,Frax Share,6.724362064679564
SAGA,False,1000000000.0,1000000000.0,Saga,5.8253547668816665
HOT,True,177619433541.14133,,Holo,0.0030236613847383852
GLM,False,1000000000.0,,Golem,0.5200701222778459
NFT,False,999990000000000.0,999990000000000.0,APENFT,5.242258276261555e-07
FTT,False,328895103.813207,352170015.0,FTX Token,1.577465086782269
RAY,False,554999312.053579,555000000.0,Raydium,1.946168116482152
TWT,False,999668148.0,1000000000.0,Trust Wallet Token,1.2254395538247849
PIXEL,False,5000000000.0,5000000000.0,Pixels,0.6522892920641169
QTUM,False,107822406.0,107822406.0,Qtum,4.773192136135373
SSV,True,11012871.0,,ssv.network,49.9724966463288
TUSD,False,494701467.01,,TrueUSD,0.9997936018543159
LPT,True,31691229.76064013,,Livepeer,15.528167627309656
MEME,False,69000000000.0,69000000000.0,Memecoin,0.04174726305862851
METIS,False,10000000.0,,Metis,89.29393081841748
ILV,False,7889583.35698762,,Illuvium,124.15461313918192
GAL,False,200000000.0,200000000.0,Galxe,4.3990142045331835
T,True,11035000000.0,,Threshold,0.047593288849256676
LRC,False,1373873397.4424574,1374513896.0,Loopring,0.3342741866468849
BAT,False,1500000000.0,,Basic Attention Token,0.30626748082054706
RSR,False,100000000000.0,100000000000.0,Reserve Rights,0.008996460583659757
MASK,False,100000000.0,100000000.0,Mask Network,4.730739535702581
ID,False,1996000877.1905332,2000000000.0,SPACE ID,0.8755820123889707
ELF,False,1000000000.0,1000000000.0,aelf,0.6198694464079328
TRAC,False,500000000.0,,OriginTrail,1.1002180521887204
JTO,False,1000000000.0,1000000000.0,Jito,3.7739328610256537
ZEC,False,16328268.75,21000000.0,Zcash,27.006927091246936
ZETA,False,2100000000.0,2100000000.0,ZetaChain,1.696283470831095
CSPR,False,12517802850.0,,Casper,0.03626440650922439
GAS,False,67490678.0,,Gas,6.403025616374271
POLYX,True,1041263211.771792,,Polymesh,0.5120958266618113
XEM,False,8999999999.0,8999999999.0,NEM,0.047604563031756954
DASH,False,11746728.26230034,18900000.0,Dash,36.42718944852149
PAXG,True,182646.533,,PAX Gold,2314.396213097862
SFP,False,500000000.0,500000000.0,SafePal,0.8977899870617497
ANT,False,43179247.40423918,,Aragon,9.473832388004162
CFG,False,544933574.0,,Centrifuge,0.8293445090000656
YGG,False,999982570.0,1000000000.0,Yield Guild Games,1.2722703155469777
DCR,False,15981269.61049512,21000000.0,Decred,24.828552257157966
ARKM,False,1000000000.0,1000000000.0,Arkham,1.909262850316753
XCH,False,31249450.0,,Chia,37.21062136647608
AMP,False,99213408535.0,99444125026.0,Amp,0.0089367615028993
ONE,True,14245133605.262915,,Harmony,0.027152431584546218
FLUX,False,440000000.0,440000000.0,Flux,1.0867693437692953
GLMR,True,1113760112.0,,Moonbeam,0.4357003896879719
SUSHI,False,250204041.90020266,,SushiSwap,1.5251258717571432
MEW,False,88888888888.0,88888888888.0,cat in a dogs world,0.004044492281740443
